ENCABEZADO,PRECIO,LINK,STORE
harina de arroz integral 500gr - kg a $13,6500,https://articulo.mercadolibre.com.co/MCO-613270250-harina-de-arroz-integral-500gr-_JM#position=33&search_layout=stack&type=item&tracking_id=19c75c02-ee03-4283-acf2-b40507a0b554,Mercado libre
harina de arroz integral 500gr - kg a $13,6500,https://articulo.mercadolibre.com.co/MCO-613270250-harina-de-arroz-integral-500gr-_JM#position=33&search_layout=stack&type=item&tracking_id=6b0c9323-a043-423e-a334-df0dcf52039c,Mercado libre
        arroz fibra premium castellano            1 kg    ,7190,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-fibra-premium-castellano-1-kg,Merqueo
        arroz fibra premium castellano            1 kg    ,7190,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-fibra-premium-castellano-1-kg,Merqueo
        arroz premium castellano            1 kg    ,7490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-premium-castellano-1-kg,Merqueo
        arroz premium castellano            1 kg    ,7490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-premium-castellano-1-kg,Merqueo
harina de arroz 1000 grs sin glute - unidad a $7500,7500,https://articulo.mercadolibre.com.co/MCO-579671992-harina-de-arroz-1000-grs-sin-gluten-unidad-a-4200-_JM#position=1&search_layout=stack&type=item&tracking_id=19c75c02-ee03-4283-acf2-b40507a0b554,Mercado libre
harina de arroz 1000 grs sin glute - unidad a $7500,7500,https://articulo.mercadolibre.com.co/MCO-579671992-harina-de-arroz-1000-grs-sin-gluten-unidad-a-4200-_JM#position=1&search_layout=stack&type=item&tracking_id=6b0c9323-a043-423e-a334-df0dcf52039c,Mercado libre
arroz integral 1000g,7800,https://articulo.mercadolibre.com.co/MCO-571002197-arroz-integral-1000g-_JM#position=35&search_layout=stack&type=item&tracking_id=6b0c9323-a043-423e-a334-df0dcf52039c,Mercado libre
arroz integral 1000g,7800,https://articulo.mercadolibre.com.co/MCO-571002197-arroz-integral-1000g-_JM#position=35&search_layout=stack&type=item&tracking_id=19c75c02-ee03-4283-acf2-b40507a0b554,Mercado libre
arroz integral 1000 g - kg a $8,8100,https://articulo.mercadolibre.com.co/MCO-587146680-arroz-integral-1000-g-_JM#position=34&search_layout=stack&type=item&tracking_id=6b0c9323-a043-423e-a334-df0dcf52039c,Mercado libre
arroz integral 1000 g - kg a $8,8100,https://articulo.mercadolibre.com.co/MCO-587146680-arroz-integral-1000-g-_JM#position=34&search_layout=stack&type=item&tracking_id=19c75c02-ee03-4283-acf2-b40507a0b554,Mercado libre
        arroz integral premium castellano            1 kg    ,8190,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-premium-castellano-1-kg,Merqueo
        arroz integral premium castellano            1 kg    ,8190,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-premium-castellano-1-kg,Merqueo
        bebida arroz yosoy monsoy            1000 ml    ,8290,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/yogurt/bebida-arroz-yosoy-monsoy-1000-ml,Merqueo
        bebida arroz yosoy monsoy            1000 ml    ,8290,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/bebidas-vegetales/bebida-arroz-yosoy-monsoy-1000-ml,Merqueo
        bebida arroz yosoy monsoy            1000 ml    ,8290,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/bebidas-vegetales/bebida-arroz-yosoy-monsoy-1000-ml,Merqueo
arroz premuim castellano 1000 gr,8590,https://www.exito.com//arroz-castellano-1000-gr-724192/p,Exito
arroz premuim castellano 1000 gr,8590,https://www.exito.com//arroz-castellano-1000-gr-724192/p,Exito
arroz premium castellanos natural x 1000 gr,8590,https://www.exito.com//arroz-con-fibra-natural-1000-gr-129010/p,Exito
