ENCABEZADO,PRECIO,LINK,STORE
        modificador de leche chocolisto tarro            1 kg    ,13672,https://merqueo.com//bogota/super-ahorro/bebidas/modificadores-de-leche/modificador-de-leche-chocolisto-tarro-1-kg,Merqueo
        modificador de leche chocolisto tarro            1 kg    ,13672,https://merqueo.com//bogota/super-ahorro/bebidas/modificadores-de-leche/modificador-de-leche-chocolisto-tarro-1-kg,Merqueo
leche de almendras almendrola - l a $14000,14000,https://articulo.mercadolibre.com.co/MCO-545302376-leche-de-almendras-almendrola-_JM#position=43&search_layout=stack&type=item&tracking_id=93103b50-9378-4ef6-b703-8a5cf2e54232,Mercado libre
leche de almendras almendrola - l a $14000,14000,https://articulo.mercadolibre.com.co/MCO-545302376-leche-de-almendras-almendrola-_JM#position=43&search_layout=stack&type=item&tracking_id=2fe05c51-e10a-4e67-bd37-e423e1442f24,Mercado libre
crema de leche 125 gr caja 8 unds alqueria 1000 gr,15435,https://www.exito.com//crema-leche-display-x8-unds-alqueria-1000-gramos-153222/p,Exito
        leche entera colanta 6 und            1100 ml    ,16072,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-entera-colanta-6-und-1100-ml,Merqueo
        leche entera alquería 6 und            1100 ml    ,16232,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-entera-alqueria-6-und-1100-ml,Merqueo
        leche deslactosada alpina  6 und            1100 ml    ,16792,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-deslactosada-alpina-6-und-1100-ml,Merqueo
        leche semidescremada alqueria  6 und            1100 ml    ,17752,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-semidescremada-alqueria-6-und-1100-ml,Merqueo
        leche deslactosada alquería  6 und            1300 ml    ,19352,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-deslactosada-alqueria-6-und-1300-ml,Merqueo
        leche deslactosada alquería  6 und            1300 ml    ,19352,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-deslactosada-alqueria-6-und-1300-ml,Merqueo
leche en polvo colanta entera x  1000 gr,20160,https://www.exito.com//leche-en-polvo-entera-bolsa-1000-gr-248851/p,Exito
leche en polvo colanta entera x  1000 gr,20160,https://www.exito.com//leche-en-polvo-entera-bolsa-1000-gr-248851/p,Exito
